"No","スキル名","タスクの分類","重要度（pj-generalでの推定）","タスク難易度（pj-generalでの推定）","使用頻度（pj-generalでの推定）","行数","主対象言語・技術","残す判断","旧残す判断","判断理由","最新技術依存","最新性メモ","改善優先度","高品質化状態","優先度理由","高品質化コメント"
"163","security-review","セキュリティ・安全性","高","高","高","114","Security","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","A","完了","使用頻度高×難易度高の横断skill","scoped change reviewへ限定し、tenant/org/delegation/session/abuse/auditとOWASP一次資料、qualified Codex Security routingを追加。旧危険資源は隔離。"
"164","security-scan","セキュリティ・安全性","低","高","低","164","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","C","未着手","横断skillだがA/B条件外",""
"165","seo","フロントエンド・UI検証","中","中","中","153","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"166","skill-comply","エージェント運用・評価","中","高","中","56","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"167","skill-stocktake","エージェント運用・評価","中","高","中","66","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","完了","横断skillだがA/B条件外","削除選別ではなく、構造validity・trigger・context cost・安全性・最新性をP0-P3で監査するskillへ再設計。"
"168","social-graph-ranker","ウェブ検索・外部調査","低","中","低","153","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"169","springboot-patterns","言語・フレームワーク別実装","低","高","低","313","Java/Spring","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"170","springboot-security","セキュリティ・安全性","低","高","低","271","Java/Spring","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"171","springboot-tdd","テスト・検証","低","中","低","157","Java/Spring","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"172","springboot-verification","テスト・検証","低","中","低","230","Java/Spring","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"173","strategic-compact","作業チャンク化・計画","高","低","中","60","Context management","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","完了","横断skillだがA/B条件外","安定境界、durable state、復帰時再読を定義し、旧Claude/Bash hookをactive path外へ隔離。"
"174","swift-actor-persistence","言語・フレームワーク別実装","低","高","低","142","Swift","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"175","swift-concurrency-6-2","言語・フレームワーク別実装","低","高","低","216","Swift","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"176","swift-protocol-di-testing","言語・フレームワーク別実装","低","高","低","189","Swift","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"177","swiftui-patterns","フロントエンド・UI検証","低","中","低","259","Swift","残す","不要候補","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 不要候補。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","D","未着手","言語・framework専用のため後順位",""
"178","tdd-workflow","テスト・検証","高","中","高","106","General testing","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","B","完了","重要度高かつ使用頻度または難易度が高","固定80%・TDD絶対化・自動commitを廃止し、test-first適用判断、risk-based test layer、RED/GREEN、flake/evidenceへ再設計。"
"179","team-builder","エージェント運用・評価","中","高","中","167","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"180","terminal-ops","運用・外部連携","高","低","高","108","Shell/PowerShell","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","B","未着手","重要度高かつ使用頻度または難易度が高",""
"181","token-budget-advisor","作業チャンク化・計画","中","低","中","132","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"182","ui-demo","フロントエンド・UI検証","低","中","低","464","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","高","フレームワーク/API/DB/セキュリティ/実装例の更新で内容が陳腐化しやすい","C","未着手","横断skillだがA/B条件外",""
"183","unified-notifications-ops","運用・外部連携","中","中","中","186","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"184","verification-loop","テスト・検証","高","中","高","84","General verification","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","B","完了","重要度高かつ使用頻度または難易度が高","固定coverage率・単一package manager・Claude前提を廃止し、受入条件と直接証拠をrisk-basedに対応。"
"185","videodb","コンテンツ・発信","低","中","低","371","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","C","未着手","横断skillだがA/B条件外",""
"186","video-editing","コンテンツ・発信","低","中","低","309","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","C","未着手","横断skillだがA/B条件外",""
"187","visa-doc-translate","コンテンツ・発信","低","中","低","117","言語非依存/ドメイン別","残す","確認待ち","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 確認待ち。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
"188","workspace-surface-audit","リポジトリ調査・ファイル操作","高","中","中","63","言語非依存/ドメイン別","残す","残す","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 残す。重要度/頻度/難易度は今後の修正優先度として利用。","中","原則やワークフロー中心だが、ツール名や実行例は更新影響を受ける","C","完了","横断skillだがA/B条件外","repo構造監査と分離し、Codex sessionのtools・plugins・connectors・authorization・設定だけを監査するtriggerへ限定。"
"189","x-api","API・バックエンド実装","低","高","低","229","言語非依存/ドメイン別","残す","保留","tool-set v1では全skillを保持し、PJごとの採択時に切る。旧判断: 保留。重要度/頻度/難易度は今後の修正優先度として利用。","低","概念・業務知識中心で、短期の技術更新影響は小さい","C","未着手","横断skillだがA/B条件外",""
